Numer rachunku/karty,Data transakcji,Data rozliczenia,Rodzaj transakcji,Na konto/Z konta,Odbiorca/Zleceniodawca,Opis,Obciążenia,Uznania,Saldo,Waluta
PL94 1020 2892 0000 7302 0567 1234,2025-09-12,2025-09-12,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-28.76,,17428.93,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-17,2025-09-17,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2750.91,20179.84,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-20,2025-09-20,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Tomasz Wójcik,Przelew na telefon,,434.24,20614.08,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-28,2025-09-28,ZAKUP - FIZ. UŻYCIE KARTY,,Spotify,Zakup w Spotify,-19.99,,20594.09,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-10-06,2025-10-06,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Maria Wiśniewska,Przelew na telefon,-7.2,,20586.89,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-10-15,2025-10-15,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Maria Wiśniewska,Przelew na telefon,,378.27,20965.16,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-10-18,2025-10-18,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,574.48,21539.64,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-10-22,2025-10-22,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Piotr Nowak,Przelew na telefon,,0.62,21540.26,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-10-25,2025-10-25,ZAKUP - FIZ. UŻYCIE KARTY,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-19.68,,21520.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-11-03,2025-11-03,ZAKUP - FIZ. UŻYCIE KARTY,,ElectroShop,Zakup w ElectroShop,-125.46,,21395.12,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-11-08,2025-11-08,PŁATNOŚĆ BLIK,,Allegro,Zakup w Allegro,-336.38,,21058.74,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-11-17,2025-11-17,PŁATNOŚĆ BLIK,,Biedronka,Zakup w Biedronka,-26.18,,21032.56,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-11-21,2025-11-21,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2346.21,23378.77,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-11-30,2025-11-30,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Amazon,Zakup w Amazon,-129.3,,23249.47,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-12-03,2025-12-03,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-21.58,,23227.89,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-12-06,2025-12-06,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,eBay,Zakup w eBay,-221.22,,23006.67,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-12-16,2025-12-16,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1516.2,24522.87,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-12-25,2025-12-25,ZAKUP - FIZ. UŻYCIE KARTY,,Amazon,Zakup w Amazon,-57.56,,24465.31,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-12-29,2025-12-29,PŁATNOŚĆ BLIK,,H&M,Zakup w H&M,-243.31,,24222.00,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-01-04,2026-01-04,ZAKUP - FIZ. UŻYCIE KARTY,,ElectroShop,Zakup w ElectroShop,-108.69,,24113.31,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-01-14,2026-01-14,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-259.97,,23853.34,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-01-17,2026-01-17,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Piotr Nowak,Przelew na telefon,,93.27,23946.61,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-01-21,2026-01-21,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-167.09,,23779.52,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-01-27,2026-01-27,PŁATNOŚĆ BLIK,,H&M,Zakup w H&M,-128.53,,23650.99,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-02-02,2026-02-02,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Anna Jankowska,Przelew na telefon,,254.01,23905.00,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-02-11,2026-02-11,PŁATNOŚĆ BLIK W INTERNECIE,,Amazon,Zakup w Amazon,-65.46,,23839.54,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-02-17,2026-02-17,ZAKUP - FIZ. UŻYCIE KARTY,,eBay,Zakup w eBay,-124.45,,23715.09,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-02-20,2026-02-20,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-145.91,,23569.18,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-02,2026-03-02,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Supermarket XYZ,Zakup w Supermarket XYZ,-65.77,,23503.41,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-06,2026-03-06,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Amazon,Zakup w Amazon,-50.62,,23452.79,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-13,2026-03-13,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Spotify,Zakup w Spotify,-19.99,,23432.80,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-17,2026-03-17,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1392.14,24824.94,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-21,2026-03-21,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Aleksandra Lis,Przelew na telefon,-420.68,,24404.26,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-03-30,2026-03-30,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1169.11,25573.37,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-04-06,2026-04-06,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Tomasz Wójcik,Przelew na telefon,-310.27,,25263.10,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-04-14,2026-04-14,PŁATNOŚĆ BLIK W INTERNECIE,,H&M,Zakup w H&M,-294.96,,24968.14,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-04-24,2026-04-24,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-180.22,,24787.92,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-05-01,2026-05-01,ZAKUP - FIZ. UŻYCIE KARTY,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-32.4,,24755.52,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-05-10,2026-05-10,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Aleksandra Lis,Przelew na telefon,-179.9,,24575.62,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-05-20,2026-05-20,PŁATNOŚĆ BLIK W INTERNECIE,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-23.48,,24552.14,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-05-30,2026-05-30,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2287.95,26840.09,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-06-05,2026-06-05,PŁATNOŚĆ BLIK,,H&M,Zakup w H&M,-214.84,,26625.25,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-06-15,2026-06-15,PŁATNOŚĆ BLIK,,Restauracja Italia,Zakup w Restauracja Italia,-115.08,,26510.17,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-06-19,2026-06-19,PŁATNOŚĆ BLIK,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-10.55,,26499.62,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-06-28,2026-06-28,PŁATNOŚĆ BLIK W INTERNECIE,,eBay,Zakup w eBay,-36.21,,26463.41,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-06,2026-07-06,ZAKUP - FIZ. UŻYCIE KARTY,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-24.39,,26439.02,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-12,2026-07-12,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,H&M,Zakup w H&M,-52.95,,26386.07,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-16,2026-07-16,PŁATNOŚĆ BLIK W INTERNECIE,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-45.78,,26340.29,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-21,2026-07-21,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1422.82,27763.11,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-27,2026-07-27,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Amazon,Zakup w Amazon,-108.76,,27654.35,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-07-30,2026-07-30,PŁATNOŚĆ BLIK W INTERNECIE,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-25.47,,27628.88,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-08-06,2026-08-06,ZAKUP - FIZ. UŻYCIE KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-258.19,,27370.69,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-08-13,2026-08-13,PŁATNOŚĆ BLIK W INTERNECIE,,eBay,Zakup w eBay,-269.35,,27101.34,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-08-17,2026-08-17,ZAKUP - FIZ. UŻYCIE KARTY,,Biedronka,Zakup w Biedronka,-168.71,,26932.63,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-08-26,2026-08-26,ZAKUP - FIZ. UŻYCIE KARTY,,Spotify,Zakup w Spotify,-19.99,,26912.64,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-08-31,2026-08-31,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-135.43,,26777.21,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-09-09,2026-09-09,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2323.54,29100.75,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-09-14,2026-09-14,ZAKUP - FIZ. UŻYCIE KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-193.89,,28906.86,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-09-18,2026-09-18,PŁATNOŚĆ BLIK,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-26.93,,28879.93,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-09-24,2026-09-24,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,H&M,Zakup w H&M,-121.72,,28758.21,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-09-29,2026-09-29,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Jan Kowalski,Przelew na telefon,-291.48,,28466.73,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-10-06,2026-10-06,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1098.11,29564.84,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-10-13,2026-10-13,PŁATNOŚĆ BLIK W INTERNECIE,,Biedronka,Zakup w Biedronka,-104.93,,29459.91,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-10-23,2026-10-23,PŁATNOŚĆ BLIK W INTERNECIE,,H&M,Zakup w H&M,-209.97,,29249.94,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-10-29,2026-10-29,ZAKUP - FIZ. UŻYCIE KARTY,,ElectroShop,Zakup w ElectroShop,-177.66,,29072.28,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-05,2026-11-05,PŁATNOŚĆ BLIK,,Spotify,Zakup w Spotify,-19.99,,29052.29,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-12,2026-11-12,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Michał Kowalczyk,Przelew na telefon,-143.65,,28908.64,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-15,2026-11-15,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Maria Wiśniewska,Przelew na telefon,-274.8,,28633.84,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-18,2026-11-18,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Supermarket XYZ,Zakup w Supermarket XYZ,-173.6,,28460.24,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-25,2026-11-25,ZAKUP - FIZ. UŻYCIE KARTY,,Piekarnia Róg,Zakup w Piekarnia Róg,-20.35,,28439.89,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-11-28,2026-11-28,PŁATNOŚĆ BLIK,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-278.73,,28161.16,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-12-02,2026-12-02,ZAKUP - FIZ. UŻYCIE KARTY,,MediaExpert,Zakup w MediaExpert,-301.47,,27859.69,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-12-06,2026-12-06,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Aleksandra Lis,Przelew na telefon,-266.06,,27593.63,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-12-12,2026-12-12,PŁATNOŚĆ BLIK W INTERNECIE,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-29.51,,27564.12,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-12-22,2026-12-22,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-228.39,,27335.73,PLN
PL94 1020 2892 0000 7302 0567 1234,2026-12-26,2026-12-26,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Tomasz Wójcik,Przelew na telefon,,236.31,27572.04,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-03,2027-01-03,PŁATNOŚĆ BLIK,,eBay,Zakup w eBay,-128.21,,27443.83,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-09,2027-01-09,PŁATNOŚĆ BLIK,,Restauracja Italia,Zakup w Restauracja Italia,-132.27,,27311.56,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-15,2027-01-15,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,MediaExpert,Zakup w MediaExpert,-880.11,,26431.45,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-23,2027-01-23,PŁATNOŚĆ BLIK,,Supermarket XYZ,Zakup w Supermarket XYZ,-59.05,,26372.40,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-26,2027-01-26,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Katarzyna Lewandowska,Przelew na telefon,,25.76,26398.16,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-01-29,2027-01-29,PŁATNOŚĆ BLIK W INTERNECIE,,Spotify,Zakup w Spotify,-19.99,,26378.17,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-02-07,2027-02-07,PŁATNOŚĆ BLIK,,Amazon,Zakup w Amazon,-99.13,,26279.04,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-02-10,2027-02-10,PŁATNOŚĆ BLIK,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-20.93,,26258.11,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-02-20,2027-02-20,PŁATNOŚĆ BLIK W INTERNECIE,,Allegro,Zakup w Allegro,-442.74,,25815.37,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-02-25,2027-02-25,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2391.61,28206.98,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-03-02,2027-03-02,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Aleksandra Lis,Przelew na telefon,-473.1,,27733.88,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-03-08,2027-03-08,PŁATNOŚĆ BLIK,,Spotify,Zakup w Spotify,-19.99,,27713.89,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-03-13,2027-03-13,PŁATNOŚĆ BLIK,,Piekarnia Róg,Zakup w Piekarnia Róg,-33.75,,27680.14,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-03-23,2027-03-23,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Katarzyna Lewandowska,Przelew na telefon,-305.29,,27374.85,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-02,2027-04-02,PŁATNOŚĆ BLIK,,ElectroShop,Zakup w ElectroShop,-123.59,,27251.26,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-06,2027-04-06,ZAKUP - FIZ. UŻYCIE KARTY,,Spotify,Zakup w Spotify,-19.99,,27231.27,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-09,2027-04-09,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1834.84,29066.11,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-16,2027-04-16,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Jan Kowalski,Przelew na telefon,,392.65,29458.76,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-20,2027-04-20,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1496.26,30955.02,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-04-23,2027-04-23,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Anna Jankowska,Przelew na telefon,-242.21,,30712.81,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-01,2027-05-01,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Anna Jankowska,Przelew na telefon,-162.03,,30550.78,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-10,2027-05-10,PŁATNOŚĆ BLIK,,Piekarnia Róg,Zakup w Piekarnia Róg,-37.83,,30512.95,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-15,2027-05-15,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-25.2,,30487.75,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-22,2027-05-22,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Aleksandra Lis,Przelew na telefon,-406.62,,30081.13,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-25,2027-05-25,PŁATNOŚĆ BLIK,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-16.83,,30064.30,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-05-29,2027-05-29,PŁATNOŚĆ BLIK,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-245.7,,29818.60,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-06-05,2027-06-05,PŁATNOŚĆ BLIK W INTERNECIE,,ElectroShop,Zakup w ElectroShop,-121.0,,29697.60,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-06-10,2027-06-10,PŁATNOŚĆ BLIK,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-15.45,,29682.15,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-06-18,2027-06-18,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1278.91,30961.06,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-06-25,2027-06-25,ZAKUP - FIZ. UŻYCIE KARTY,,eBay,Zakup w eBay,-72.57,,30888.49,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-07-02,2027-07-02,PŁATNOŚĆ BLIK,,Spotify,Zakup w Spotify,-19.99,,30868.50,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-07-08,2027-07-08,ZAKUP - FIZ. UŻYCIE KARTY,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-191.04,,30677.46,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-07-15,2027-07-15,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Allegro,Zakup w Allegro,-420.75,,30256.71,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-07-23,2027-07-23,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,eBay,Zakup w eBay,-87.83,,30168.88,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-07-31,2027-07-31,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Piotr Nowak,Przelew na telefon,,245.44,30414.32,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-08-05,2027-08-05,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1290.41,31704.73,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-08-08,2027-08-08,ZAKUP - FIZ. UŻYCIE KARTY,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-23.78,,31680.95,PLN
PL94 1020 2892 0000 7302 0567 1234,2027-08-17,2027-08-17,PŁATNOŚĆ BLIK,,eBay,Zakup w eBay,-97.62,,31583.33,PLN
